name,length,width,texture,edge,arrangement,shape
seetha,6,2.5,smooth,straight,alternate,elliptic
seetha,6,2.6,smooth,straight,alternate,elliptic
seetha,5.3,2.4,smooth,straight,alternate,elliptic
seetha,5.2,2.3,smooth,straight,alternate,elliptic
seetha,3.7,2,smooth,straight,alternate,elliptic
seetha,4.9,1.9,smooth,straight,alternate,elliptic
seetha,5.8,2.1,smooth,straight,alternate,elliptic
seetha,6.7,2.8,smooth,straight,alternate,elliptic
seetha,3.8,1.8,smooth,straight,alternate,elliptic
seetha,4.5,2.1,smooth,straight,alternate,elliptic
seetha,6.3,2.9,smooth,straight,alternate,elliptic
seetha,3.4,1.5,smooth,straight,alternate,elliptic
seetha,3,1.7,smooth,straight,alternate,elliptic
seetha,5.7,2.5,smooth,straight,alternate,elliptic
seetha,5.3,2.4,smooth,straight,alternate,elliptic
seetha,4.6,2.3,smooth,straight,alternate,elliptic
seetha,6.3,2.9,smooth,straight,alternate,elliptic
seetha,5.9,3,smooth,straight,alternate,elliptic
seetha,5.4,2.2,smooth,straight,alternate,elliptic
seetha,2.4,1,smooth,straight,alternate,elliptic
kaju,13.5,5.4,leathery,askew,spiral,obovate
kaju,14.6,5.6,leathery,askew,spiral,obovate
kaju,13,6.2,leathery,askew,spiral,obovate
kaju,14.4,5.5,leathery,askew,spiral,obovate
kaju,15.7,6.5,leathery,askew,spiral,obovate
kaju,11.5,5.4,leathery,askew,spiral,obovate
kaju,8,3.5,leathery,askew,spiral,obovate
kaju,8.2,3.5,leathery,askew,spiral,obovate
kaju,14.1,5.5,leathery,askew,spiral,obovate
kaju,14.1,5.7,leathery,askew,spiral,obovate
kaju,10,5.3,leathery,askew,spiral,obovate
kaju,8,3.7,leathery,askew,spiral,obovate
kaju,6,2.7,leathery,askew,spiral,obovate
kaju,4,2,leathery,askew,spiral,obovate
kaju,7.7,3.2,leathery,askew,spiral,obovate
kaju,19.5,8.5,leathery,askew,spiral,obovate
kaju,17.2,8.5,leathery,askew,spiral,obovate
kaju,23.6,8.2,leathery,askew,spiral,obovate
kaju,21.2,9.2,leathery,askew,spiral,obovate
kaju,12,4.8,leathery,askew,spiral,obovate
elachi,14.8,2.5,glossy,jagged,alternate,lanceolate
elachi,12.9,2.2,glossy,jagged,alternate,lanceolate
elachi,17.3,6.1,glossy,jagged,alternate,lanceolate
elachi,17.5,4.2,glossy,jagged,alternate,lanceolate
elachi,18.5,4,glossy,jagged,alternate,lanceolate
elachi,18.2,4.6,glossy,jagged,alternate,lanceolate
elachi,13.5,2,glossy,jagged,alternate,lanceolate
elachi,13.3,2.1,glossy,jagged,alternate,lanceolate
elachi,17.5,3.5,glossy,jagged,alternate,lanceolate
elachi,16.3,3.1,glossy,jagged,alternate,lanceolate
elachi,16.8,3.3,glossy,jagged,alternate,lanceolate
elachi,21,4.2,glossy,jagged,alternate,lanceolate
elachi,18.8,3.9,glossy,jagged,alternate,lanceolate
elachi,13.7,5.2,glossy,jagged,alternate,lanceolate
elachi,16.5,5.9,glossy,jagged,alternate,lanceolate
elachi,14,6,glossy,jagged,alternate,lanceolate
elachi,14.8,2.5,glossy,jagged,alternate,lanceolate
elachi,17,3.6,glossy,jagged,alternate,lanceolate
elachi,14.6,3,glossy,jagged,alternate,lanceolate
elachi,15,3.2,glossy,jagged,alternate,lanceolate
mouha,25.8,14.4,smooth,askew,alternate,ovate
mouha,22.5,12.1,smooth,askew,alternate,ovate
mouha,19.2,7.8,smooth,askew,alternate,ovate
mouha,18,10.8,smooth,askew,alternate,ovate
mouha,18.9,9,smooth,askew,alternate,ovate
mouha,2.7,9.5,smooth,askew,alternate,ovate
mouha,29.5,14,smooth,askew,alternate,ovate
mouha,13.5,26.8,smooth,askew,alternate,ovate
mouha,23,12.8,smooth,askew,alternate,ovate
mouha,15.3,5.5,smooth,askew,alternate,ovate
mouha,10.1,5.2,smooth,askew,alternate,ovate
mouha,19.5,10.6,smooth,askew,alternate,ovate
mouha,5,2.8,smooth,askew,alternate,ovate
mouha,10.5,6,smooth,askew,alternate,ovate
mouha,17,8,smooth,askew,alternate,ovate
mouha,16.3,7.5,smooth,askew,alternate,ovate
mouha,21,10.2,smooth,askew,alternate,ovate
mouha,15.5,8.3,smooth,askew,alternate,ovate
mouha,19.8,12.4,smooth,askew,alternate,ovate
mouha,20,10,smooth,askew,alternate,ovate
lemon,3.7,2,smooth,straight,alternate,elliptic
lemon,2.5,1.5,smooth,straight,alternate,elliptic
lemon,3.6,2.5,smooth,straight,alternate,elliptic
lemon,3.7,2.8,smooth,straight,alternate,elliptic
lemon,3.9,3.1,smooth,straight,alternate,elliptic
lemon,2.2,1.9,smooth,straight,alternate,elliptic
lemon,4.2,3,smooth,straight,alternate,elliptic
lemon,3.4,2.5,smooth,straight,alternate,elliptic
lemon,3.2,2,smooth,straight,alternate,elliptic
lemon,3,1.5,smooth,straight,alternate,elliptic
lemon,3.5,2.1,smooth,straight,alternate,elliptic
lemon,2,1.1,smooth,straight,alternate,elliptic
lemon,2,1.2,smooth,straight,alternate,elliptic
lemon,2.2,1.5,smooth,straight,alternate,elliptic
lemon,2.8,1.3,smooth,straight,alternate,elliptic
lemon,3.2,1.8,smooth,straight,alternate,elliptic
lemon,2,1.4,smooth,straight,alternate,elliptic
